name,model,method,condition,num_residues,inference_time,cache_hit_rate,n_computed_steps,rmsd_vs_gt,tm_score_vs_gt,rmsd_vs_baseline
5c5sB00,simplefold_100M,uniform,12.0,202,0.2403860092163086,,,324.4749349541566,0.0003308905756124,
5c5sB00,simplefold_100M,uniform,15.0,202,0.29669189453125,,,227.64959735606007,0.0007378396390262,
5c5sB00,simplefold_100M,uniform,16.0,202,0.3322198390960693,,,203.42925746630905,0.0009229773020775,
5c5sB00,simplefold_100M,uniform,24.0,202,0.4999771118164062,,,108.80452610042106,0.0051620966097474,
5c5sB00,simplefold_100M,uniform,36.0,202,0.7531330585479736,,,37.99488979911332,0.0438075977337389,
5c5sB00,simplefold_100M,uniform,59.0,202,1.1955358982086182,,,1.837456585000557,0.9293182912431522,
5c5sB00,simplefold_100M,uniform,100.0,202,2.0227458477020264,,,3.6244301486674897,0.8255639819078652,
5c5sB00,simplefold_100M,uniform,171.0,202,3.389878034591675,,,3.6545715878297735,0.8249618650751384,
5c5sB00,simplefold_100M,uniform,250.0,202,4.928082227706909,,,3.723602995135532,0.8231008867433953,
5c5sB00,simplefold_100M,adaptive,0.0,202,9.538408041000366,0.0,500.0,3.9469348564361777,0.802590698553259,
5c5sB00,simplefold_100M,adaptive,0.01,202,3.556955099105835,0.658,171.0,3.93784150580743,0.8029822977704091,0.0334186864279083
5c5sB00,simplefold_100M,adaptive,0.05,202,1.4976491928100586,0.888,56.0,3.8856476142041254,0.8056692648317021,0.1040357779817381
5c5sB00,simplefold_100M,adaptive,0.1,202,1.0612938404083252,0.932,34.0,3.822443889806881,0.8048643160667088,0.5992485316566258
5c5sB00,simplefold_100M,adaptive,0.2,202,0.8679721355438232,0.954,23.0,3.701319906709673,0.8112204037186658,0.6646756685513137
5c5sB00,simplefold_100M,adaptive,0.4,202,0.7055060863494873,0.968,16.0,4.060288504756444,0.7457969535651273,2.2317942386456
5c5sB00,simplefold_100M,adaptive,0.5,202,0.6900079250335693,0.97,15.0,3.874116198314516,0.762313849565269,2.078528907936966
5c5sB00,simplefold_100M,adaptive,1.0,202,0.6209187507629395,0.976,12.0,7.266170564523701,0.4276071451722937,6.725501627301385
2doqD00,simplefold_100M,uniform,12.0,81,0.1894011497497558,,,342.6438853462034,0.0001014211063857,
2doqD00,simplefold_100M,uniform,15.0,81,0.2501311302185058,,,272.21157605862146,0.0001653892770224,
2doqD00,simplefold_100M,uniform,16.0,81,0.251600980758667,,,255.5267401863434,0.0001925081868549,
2doqD00,simplefold_100M,uniform,24.0,81,0.3703317642211914,,,133.748862015817,0.0012309194314087,
2doqD00,simplefold_100M,uniform,36.0,81,0.5681908130645752,,,35.89659569607807,0.0343446804340878,
2doqD00,simplefold_100M,uniform,59.0,81,0.8887951374053955,,,16.681672383310413,0.0849257149212753,
2doqD00,simplefold_100M,uniform,100.0,81,1.4868760108947754,,,34.90504691294398,0.0157512152445849,
2doqD00,simplefold_100M,uniform,171.0,81,2.546837091445923,,,34.58083221173416,0.0161344518163166,
